NAME         REFERENCE               TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 19%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 19%/50%   1         10        1          108m
php-apache   Deployment/php-apache   cpu: 19%/50%   1         10        1          109m
php-apache   Deployment/php-apache   cpu: 19%/50%   1         10        1          109m
php-apache   Deployment/php-apache   cpu: 77%/50%   1         10        1          109m
php-apache   Deployment/php-apache   cpu: 77%/50%   1         10        1          109m
php-apache   Deployment/php-apache   cpu: 77%/50%   1         10        1          109m
php-apache   Deployment/php-apache   cpu: 77%/50%   1         10        1          109m
php-apache   Deployment/php-apache   cpu: 77%/50%   1         10        1          109m
php-apache   Deployment/php-apache   cpu: 79%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 79%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 79%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 79%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 79%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 66%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 66%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 66%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 66%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          109m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 34%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 34%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 34%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 34%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 34%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 49%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 49%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 49%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 49%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 49%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 41%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 41%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 41%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 41%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          110m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 41%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 41%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 41%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 41%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          111m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 47%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 47%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 47%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 47%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 47%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        2          112m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 36%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 36%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 36%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 36%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 36%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 42%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 42%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 42%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 42%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          113m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 40%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 37%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 33%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 33%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 33%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 33%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 33%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 4%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 4%/50%   1         10        2          114m
php-apache   Deployment/php-apache   cpu: 4%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 4%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          115m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          116m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          117m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          118m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        2          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          119m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          120m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          120m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          120m
